字库,索引,字符
主字库,0,中
主字库,1,大
主字库,2,砂
主字库,3,嵐
主字库,4,泥
主字库,5,流
主字库,6,回
主字库,7,復
主字库,8,天
主字库,9,光
主字库,10,海
主字库,11,特
主字库,12,異
主字库,13,点
主字库,14,最
主字库,15,防
主字库,16,御
主字库,17,変
主字库,18,身
主字库,19,銃
主字库,20,王
主字库,21,夢
主字库,22,神
主字库,23,業
主字库,24,火
主字库,25,拳
主字库,26,鳥
主字库,27,斬
主字库,28,滅
主字库,29,殺
主字库,30,毒
主字库,31,撃
主字库,32,気
主字库,33,合
主字库,34,魔
主字库,35,法
主字库,36,陣
主字库,37,結
主字库,38,界
主字库,39,連
主字库,40,草
主字库,41,烈
主字库,42,風
主字库,43,氷
主字库,44,逆
主字库,45,転
主字库,46,邪
主字库,47,呪
主字库,48,爆
主字库,49,自
主字库,50,炎
主字库,51,立
主字库,52,羅
主字库,53,牙
主字库,54,波
主字库,55,水
主字库,56,破
主字库,57,土
主字库,58,地
主字库,59,絶
主字库,60,命
主字库,61,剣
主字库,62,曲
主字库,63,薬
主字库,64,純
主字库,65,元
主字库,66,玉
主字库,67,成
主字库,68,思
主字库,69,必
主字库,70,射
主字库,71,門
主字库,72,鍵
主字库,73,超
主字库,74,木
主字库,75,実
主字库,76,知
主字库,77,力
主字库,78,種
主字库,79,消
主字库,80,目
主字库,81,頭
主字库,82,真
主字库,83,空
主字库,84,雷
主字库,85,弾
主字库,86,攻
主字库,87,竜
主字库,88,勝
主字库,89,魚
主字库,90,鉄
主字库,91,素
主字库,92,家
主字库,93,刀
主字库,94,皇
主字库,95,帝
主字库,96,太
主字库,97,馬
主字库,98,霸
主字库,99,杖
主字库,100,方
主字库,101,多
主字库,102,発
主字库,103,散
主字库,104,上
主字库,105,筒
主字库,106,石
主字库,107,矢
主字库,108,飛
主字库,109,皮
主字库,110,賢
主字库,111,者
主字库,112,使
主字库,113,愛
主字库,114,女
主字库,115,初
主字库,116,心
主字库,117,能
主字库,118,装
主字库,119,備
主字库,120,状
主字库,121,態
主字库,122,並
主字库,123,設
主字库,124,定
主字库,125,用
主字库,126,整
主字库,127,理
主字库,128,見
主字库,129,捨
主字库,130,宝
主字库,131,事
主字库,132,誰
主字库,133,選
主字库,134,移
主字库,135,動
主字库,136,決
主字库,137,後
主字库,138,場
主字库,139,所
主字库,140,本
主字库,141,当
主字库,142,良
主字库,143,戻
主字库,144,向
主字库,145,左
主字库,146,右
主字库,147,切
主字库,148,強
主字库,149,早
主字库,150,別
主字库,151,効
主字库,152,果
主字库,153,無
主字库,154,視
主字库,155,期
主字库,156,化
主字库,157,振
主字库,158,機
主字库,159,現
主字库,160,在
主字库,161,画
主字库,162,面
主字库,163,調
主字库,164,楽
主字库,165,押
主字库,166,走
主字库,167,步
主字库,168,下
主字库,169,全
主字库,170,分
主字库,171,通
主字库,172,常
主字库,173,戦
主字库,174,闘
主字库,175,類
主字库,176,武
主字库,177,器
主字库,178,具
主字库,179,道
主字库,180,物
主字库,181,術
主字库,182,会
主字库,183,話
主字库,184,終
主字库,185,了
主字库,186,択
主字库,187,前
主字库,188,可
主字库,189,入
主字库,190,先
主字库,191,要
主字库,192,一
主字库,193,不
主字库,194,新
主字库,195,品
主字库,196,買
主字库,197,売
主字库,198,取
主字库,199,持
主字库,200,数
主字库,201,以
主字库,202,足
主字库,203,出
主字库,204,行
主字库,205,何
主字库,206,手
主字库,207,拾
主字库,208,宿
主字库,209,屋
主字库,210,単
主字库,211,体
主字库,212,属
主字库,213,性
主字库,214,聖
主字库,215,残
主字库,216,小
主字库,217,重
主字库,218,旅
主字库,219,度
主字库,220,生
主字库,221,率
主字库,222,人
主字库,223,高
主字库,224,長
主字库,225,店
主字库,226,子
主字库,227,国
主字库,228,突
主字库,229,注
主字库,230,意
主字库,231,敵
主字库,232,死
主字库,233,質
主字库,234,反
主字库,235,応
主字库,236,金
主字库,237,秘
主字库,238,倍
主字库,239,精
主字库,240,守
主字库,241,名
主字库,242,音
主字库,243,弱
主字库,244,時
主字库,245,開
主字库,246,対
主字库,247,威
主字库,248,伝
主字库,249,說
主字库,250,味
主字库,251,世
主字库,252,着
主字库,253,感
主字库,254,師
主字库,255,翼
主字库,256,族
主字库,257,軍
主字库,258,密
主字库,259,間
主字库,260,受
主字库,261,安
主字库,262,漠
主字库,263,然
主字库,264,衛
主字库,265,休
主字库,266,加
主字库,267,速
主字库,268,代
主字库,269,返
主字库,270,村
主字库,271,悪
主字库,272,放
主字库,273,同
主字库,274,利
主字库,275,我
主字库,276,減
主字库,277,作
主字库,278,壊
主字库,279,岩
主字库,280,樹
主字库,281,投
主字库,282,避
主字库,283,置
主字库,284,部
主字库,285,暴
主字库,286,船
主字库,287,明
主字库,288,匠
主字库,289,仲
主字库,290,痛
主字库,291,根
主字库,292,由
主字库,293,逃
主字库,294,文
主字库,295,字
主字库,296,色
主字库,297,制
主字库,298,恨
